RPGMAZMORRAS_SAVE|1
5
0|0|8|8
-1|11|10|10
12|9|6|14
21|12|8|8
22|23|6|14
816
-96|-48|48|48
-48|-48|48|48
0|-48|48|48
48|-48|48|48
96|-48|48|48
144|-48|48|48
192|-48|48|48
240|-48|48|48
288|-48|48|48
336|-48|48|48
384|-48|48|48
432|-48|48|48
480|-48|48|48
528|-48|48|48
576|-48|48|48
624|-48|48|48
672|-48|48|48
720|-48|48|48
768|-48|48|48
816|-48|48|48
864|-48|48|48
912|-48|48|48
960|-48|48|48
1008|-48|48|48
1056|-48|48|48
1104|-48|48|48
1152|-48|48|48
1200|-48|48|48
1248|-48|48|48
1296|-48|48|48
1344|-48|48|48
1392|-48|48|48
-96|0|48|48
-48|0|48|48
384|0|48|48
432|0|48|48
480|0|48|48
528|0|48|48
576|0|48|48
624|0|48|48
672|0|48|48
720|0|48|48
768|0|48|48
816|0|48|48
864|0|48|48
912|0|48|48
960|0|48|48
1008|0|48|48
1056|0|48|48
1104|0|48|48
1152|0|48|48
1200|0|48|48
1248|0|48|48
1296|0|48|48
1344|0|48|48
1392|0|48|48
-96|48|48|48
-48|48|48|48
384|48|48|48
432|48|48|48
480|48|48|48
528|48|48|48
576|48|48|48
624|48|48|48
672|48|48|48
720|48|48|48
768|48|48|48
816|48|48|48
864|48|48|48
912|48|48|48
960|48|48|48
1008|48|48|48
1056|48|48|48
1104|48|48|48
1152|48|48|48
1200|48|48|48
1248|48|48|48
1296|48|48|48
1344|48|48|48
1392|48|48|48
-96|96|48|48
-48|96|48|48
384|96|48|48
432|96|48|48
480|96|48|48
528|96|48|48
576|96|48|48
624|96|48|48
672|96|48|48
720|96|48|48
768|96|48|48
816|96|48|48
864|96|48|48
912|96|48|48
960|96|48|48
1008|96|48|48
1056|96|48|48
1104|96|48|48
1152|96|48|48
1200|96|48|48
1248|96|48|48
1296|96|48|48
1344|96|48|48
1392|96|48|48
-96|144|48|48
-48|144|48|48
384|144|48|48
432|144|48|48
480|144|48|48
528|144|48|48
576|144|48|48
624|144|48|48
672|144|48|48
720|144|48|48
768|144|48|48
816|144|48|48
864|144|48|48
912|144|48|48
960|144|48|48
1008|144|48|48
1056|144|48|48
1104|144|48|48
1152|144|48|48
1200|144|48|48
1248|144|48|48
1296|144|48|48
1344|144|48|48
1392|144|48|48
-96|192|48|48
-48|192|48|48
384|192|48|48
432|192|48|48
480|192|48|48
528|192|48|48
576|192|48|48
624|192|48|48
672|192|48|48
720|192|48|48
768|192|48|48
816|192|48|48
864|192|48|48
912|192|48|48
960|192|48|48
1008|192|48|48
1056|192|48|48
1104|192|48|48
1152|192|48|48
1200|192|48|48
1248|192|48|48
1296|192|48|48
1344|192|48|48
1392|192|48|48
-96|240|48|48
-48|240|48|48
384|240|48|48
432|240|48|48
480|240|48|48
528|240|48|48
576|240|48|48
624|240|48|48
672|240|48|48
720|240|48|48
768|240|48|48
